                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1296,                 1.0016,                  1.155,                0.86725,                0.94921,                0.95787,                0.64513,                 1.1339,                0.93219,                 1.1531,             0.00082599,             0.00082599,             0.00082599
                     36,                 1.1564,                0.93228,                 1.1311,                0.90623,                0.91078,                0.97169,                0.64345,                 1.1625,                 0.8344,                 1.2129,             0.00081072,             0.00081072,             0.00081072
                     37,                 1.1233,                0.91105,                 1.0956,                0.91554,                0.88606,                0.97911,                0.66114,                 1.1272,                 0.7776,                 1.2003,             0.00079521,             0.00079521,             0.00079521
                     38,                 1.1408,                 0.9251,                 1.1467,                  0.924,                0.93333,                 0.9737,                0.65609,                 1.1106,                0.76427,                 1.1698,             0.00077946,             0.00077946,             0.00077946
                     39,                 1.0959,                0.85422,                 1.0756,                0.98166,                0.89206,                0.97948,                0.66012,                  1.101,                0.75837,                 1.1708,              0.0007635,              0.0007635,              0.0007635
                     40,                 1.1649,                0.92832,                 1.1274,                0.97643,                0.94211,                  0.991,                  0.676,                 1.0743,                0.70663,                  1.151,             0.00074734,             0.00074734,             0.00074734
                     41,                 1.1819,                0.86692,                 1.1111,                0.95368,                      1,                0.99233,                0.68679,                 1.0793,                 0.6829,                 1.1642,               0.000731,               0.000731,               0.000731
                     42,                 1.1917,                0.90713,                 1.1036,                0.96411,                0.91625,                 0.9895,                0.69347,                 1.0855,                0.70011,                 1.1639,             0.00071448,             0.00071448,             0.00071448
                     43,                 1.1684,                 0.8917,                 1.0898,                 0.9766,                0.93301,                0.97915,                0.67738,                 1.1019,                 0.7064,                 1.1708,             0.00069782,             0.00069782,             0.00069782
                     44,                 1.1864,                0.99739,                 1.0835,                0.95134,                0.93754,                0.97431,                0.65663,                 1.1049,                0.71965,                 1.1796,             0.00068102,             0.00068102,             0.00068102
                     45,                 1.0983,                0.83985,                 1.1008,                 0.9641,                0.91769,                0.97258,                0.64187,                 1.0887,                0.71639,                 1.1772,              0.0006641,              0.0006641,              0.0006641
                     46,                 1.1277,                0.84913,                 1.0749,                0.94354,                0.93579,                 0.9805,                0.66417,                 1.0821,                0.70781,                 1.1615,             0.00064709,             0.00064709,             0.00064709
                     47,                 1.1844,                0.89017,                 1.0539,                 0.9489,                0.92173,                0.98293,                0.66073,                 1.0732,                0.67446,                 1.1522,             0.00062998,             0.00062998,             0.00062998
                     48,                 1.1353,                0.83909,                 1.1012,                 0.9467,                0.97243,                 0.9847,                0.67126,                 1.0778,                0.64088,                 1.1626,             0.00061281,             0.00061281,             0.00061281
                     49,                 1.0679,                 0.8525,                 1.1266,                 0.9649,                0.97654,                 0.9809,                0.65794,                 1.1091,                0.64765,                  1.195,             0.00059559,             0.00059559,             0.00059559
                     50,                  1.157,                0.84832,                 1.0746,                0.96098,                0.92822,                0.97579,                 0.6515,                 1.1429,                0.66263,                 1.2269,             0.00057833,             0.00057833,             0.00057833
                     51,                 1.0671,                0.78323,                  1.056,                0.95648,                0.92133,                0.97737,                0.64564,                 1.1063,                0.65525,                 1.1976,             0.00056106,             0.00056106,             0.00056106
                     52,                 1.1227,                0.86191,                 1.0756,                0.95683,                0.91124,                0.97014,                0.65746,                 1.0684,                0.65097,                 1.1716,             0.00054378,             0.00054378,             0.00054378
                     53,                 1.1464,                0.88648,                 1.1029,                 0.9054,                0.91333,                0.96633,                 0.6695,                 1.0727,                0.67572,                 1.1732,             0.00052652,             0.00052652,             0.00052652
                     54,                 1.1447,                0.85724,                 1.0155,                0.87663,                0.90149,                0.94037,                0.63995,                 1.1008,                 0.7028,                 1.2004,              0.0005093,              0.0005093,              0.0005093
                     55,                 1.1661,                0.83334,                  1.077,                0.87136,                0.90429,                0.94959,                0.65092,                 1.0835,                0.70631,                 1.1865,             0.00049213,             0.00049213,             0.00049213
                     56,                  1.191,                0.82311,                 1.0723,                0.91574,                0.91163,                0.96642,                 0.6723,                 1.0458,                0.68291,                 1.1519,             0.00047502,             0.00047502,             0.00047502
                     57,                 1.1745,                0.84271,                 1.0984,                0.92622,                0.94192,                0.96777,                 0.6758,                 1.0411,                0.68379,                 1.1589,             0.00045801,             0.00045801,             0.00045801
                     58,                  1.104,                0.83766,                  1.072,                0.94227,                0.93115,                0.95786,                0.64175,                 1.0626,                0.69825,                 1.1749,             0.00044109,             0.00044109,             0.00044109
                     59,                 1.1678,                0.83458,                 1.0529,                0.93063,                0.94232,                 0.9618,                0.64273,                 1.0887,                0.68002,                 1.1694,             0.00042429,             0.00042429,             0.00042429
                     60,                 1.0683,                0.75229,                 1.0544,                0.93541,                0.94173,                0.97417,                0.67541,                 1.0927,                0.65045,                 1.1609,             0.00040763,             0.00040763,             0.00040763
                     61,                 1.1441,                0.77296,                 1.0338,                0.98847,                0.90272,                0.97661,                0.68275,                 1.0648,                0.63702,                 1.1532,             0.00039111,             0.00039111,             0.00039111
                     62,                 1.0315,                0.72792,                 1.0436,                0.96632,                0.97158,                0.98225,                0.67708,                 1.0585,                0.62403,                 1.1745,             0.00037477,             0.00037477,             0.00037477
                     63,                 1.0358,                0.73674,                  1.042,                0.96884,                0.95642,                0.98225,                0.67846,                  1.051,                 0.6105,                 1.1678,             0.00035861,             0.00035861,             0.00035861
                     64,                 1.0521,                0.75962,                  1.055,                0.96567,                0.95466,                0.98334,                0.68504,                 1.0385,                0.60753,                 1.1445,             0.00034265,             0.00034265,             0.00034265
                     65,                 1.0351,                0.80612,                 1.0579,                0.97019,                0.95399,                0.98706,                0.69454,                 1.0467,                0.61519,                 1.1492,              0.0003269,              0.0003269,              0.0003269
                     66,                  1.129,                0.83769,                 1.0943,                0.93474,                0.99163,                0.98856,                0.69399,                 1.0486,                0.60971,                 1.1495,             0.00031139,             0.00031139,             0.00031139
                     67,                 1.1011,                0.78414,                 1.0935,                0.96792,                0.95657,                0.98856,                 0.6985,                 1.0377,                0.59386,                 1.1446,             0.00029612,             0.00029612,             0.00029612
                     68,                 1.1256,                0.80166,                 1.0874,                0.96759,                0.95835,                0.98706,                0.69893,                  1.039,                0.58782,                 1.1473,             0.00028111,             0.00028111,             0.00028111
                     69,                 1.0534,                0.74772,                 1.0093,                 0.9434,                0.99146,                  0.991,                0.69938,                 1.0681,                0.59866,                 1.1736,             0.00026638,             0.00026638,             0.00026638
                     70,                 1.0489,                 0.7815,                 1.0696,                0.93116,                0.99701,                  0.991,                0.69437,                 1.0644,                0.59867,                 1.1731,             0.00025194,             0.00025194,             0.00025194
                     71,                 1.0705,                0.76181,                 1.1073,                0.95959,                0.96744,                  0.991,                 0.7034,                 1.0217,                0.58181,                  1.137,             0.00023781,             0.00023781,             0.00023781
                     72,                 1.0311,                0.76332,                 1.1049,                 0.9661,                0.97049,                  0.991,                 0.7116,                 1.0013,                0.57336,                 1.1214,             0.00022399,             0.00022399,             0.00022399
                     73,                 1.1405,                0.81846,                  1.068,                0.97398,                0.96657,                  0.991,                 0.7178,                 0.9943,                 0.5665,                 1.1208,             0.00021051,             0.00021051,             0.00021051
                     74,                 1.0765,                0.77382,                 1.0642,                0.97869,                0.96439,                  0.991,                0.72253,                0.98599,                 0.5655,                 1.1276,             0.00019737,             0.00019737,             0.00019737
                     75,                  1.022,                0.76243,                 1.0491,                0.95898,                0.98399,                 0.9928,                0.71471,                0.99967,                0.56678,                  1.141,             0.00018459,             0.00018459,             0.00018459
